id,segment,country,city,language,type_category,sentiment,urgency,office,manager,needs_review,summary
ba83f6ee-4d2e-41f8-9a93-573c30acb12b,VIP,Казахстан,Караганда,RU,Смена данных,Негативный,10,Астана,Менеджер 22,f,Клиент просит удалить его персональные данные и прекратить звонки/sms. Срочность высокая.
b77b9d90-9727-4e70-a877-1601ac1ede4b,Mass,Казахстан,Красный Яр,RU,Неработоспособность приложения,Негативный,10,Алматы,Менеджер 18,f,Клиенту заблокировали счета и он требует их немедленного разблокирования. Ситуация неработоспособность приложения.
70c8200b-5717-403e-b2d7-1a4575fb7e83,Mass,Казахстан,Шымкент,RU,Мошеннические действия,Негативный,10,Шымкент,Менеджер 27,f,"Клиент заявляет, что перевод на сумму 200 EUR из Sparkasse не был зачислен на его счет. Он обвиняет компанию в мошенничестве и требует немедленного решения проблемы или инициирования расследования правоохранительными органами."
2aff130d-9dce-47a3-b555-e71a56d4a115,Mass,Казахстан,Аксу,RU,Неработоспособность приложения,Негативный,10,Алматы,Менеджер 15,f,"Клиент сообщает о неработающей функции получения смс и требует срочного решения проблемы, повысив приоритет обращения."
b319bf5c-9ecd-4c86-a5d8-9b5be8921012,Mass,Казахстан,Шымкент,RU,Неработоспособность приложения,Негативный,10,Шымкент,Менеджер 14,f,Клиент предоставил изображение с ошибкой заказа. Требуется немедленное устранение проблемы в приложении.
6e8c5756-eaa5-4d37-bcf2-6a3b4be54892,VIP,Казахстан,Кокпекты,RU,Претензия,Негативный,8,Алматы,Менеджер 11,t,"Клиент требует вернуть свои деньги, так как списали комиссию дважды по $25 за одну транзакцию. urgency: высокий из-за угрозы подать в суд."
b231fa9c-5a53-4223-b0e6-012db4942d58,Mass,Казахстан,Кокпек,RU,Жалоба,Негативный,8,Астана,Менеджер 39,f,"Клиент не получил деньги на счет, просит вернуть средства. Верни ASAP!"
43b6b2c7-345f-403b-9bd2-6fbfb5842ded,VIP,Казахстан,Кыргауылды,RU,Жалоба,Негативный,7,Астана,Менеджер 22,f,"Клиент не может войти в свой аккаунт, пароль не принимается. Он пытался восстановить пароль через email и SMS, но оба метода не работают. Нужно помочь разобраться с проблемой."
39ca9319-8dd3-4265-ae9d-824a617c9af1,Mass,Казахстан,Аксу,RU,Мошеннические действия,Негативный,5,Алматы,Менеджер 15,f,Заявитель обеспокоен возможным мошенничеством. Просит проверить сертификат и сотрудников.
b2accb7c-bfa5-4970-88ee-827a881fbae7,Mass,Казахстан,Туркестан,RU,Жалоба,Негативный,5,Астана,Менеджер 40,t,"Клиент не может подключиться к услуге, указав причину неудачи. Необходимо разобраться с проблемой."
448c57a0-b675-4f47-996d-31c70da855c2,VIP,Казахстан,Караганда,RU,Смена данных,Нейтральный,3,Астана,Менеджер 43,f,Клиент не смог произвести оплату картой привязанной к D счету. Банк сказал проблем на их стороне нет и посоветовал обратиться к брокеру. Также интересует термин «обновить экономический портфель».
7e652f29-c3e9-4f0b-8a56-1fd54bf7f5d9,VIP,Казахстан,Тургень,RU,Смена данных,Нейтральный,3,Астана,Менеджер 22,f,Клиент интересуется возможностью дробного инвестирования в акции через приложение Freedom Broker и просит указать последовательность действий.
44278356-57b9-451e-b0e8-02d37c603a37,VIP,Казахстан,Усть-Каменогорск,RU,Смена данных,Нейтральный,3,Усть-Каменогорск,Менеджер 42,f,Клиент обращается с жалобой на неправильные показатели динамики бумаг. Предлагает исправить данные.
c7b4c52d-7b76-4f38-9018-b761e6875ddd,VIP,Казахстан,Усть-Каменогорск,RU,Смена данных,Нейтральный,3,Усть-Каменогорск,Менеджер 42,f,Клиент хочет уточнить за что и когда удерживается комиссия 50 долларов за обслуживание бездействующих счетов.
d2696ce4-a5ea-4dfe-9a78-5b61b0fd2025,Mass,Казахстан,Осакаровка,RU,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 40,f,"Клиент не получает смс на восстановление пароля, требуется проверка причины."
1f32c1cd-9ecd-44b8-bbae-8ff13c656b0f,Mass,Казахстан,Алматы,ENG,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Клиент не может предоставить документы на английском или турецком из-за необходимости в азербайжанском языке. Он просит разрешения на использование альтернативного документа или ручную проверку его адреса.
6297e83c-f541-41b2-8f43-1812b0224350,Mass,Казахстан,Ленгер,RU,Смена данных,Нейтральный,3,Астана,Менеджер 43,f,Клиент не может изменить данные своего счета из-за просрочки удостоверений личности. Прошу менеджера помочь с этим вопросом.
afed1c31-4698-41d1-a215-4306dd04b97c,Mass,Казахстан,Бадам,ENG,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 5,f,"Клиент заблокирован в вашем при из-за попыток добавить адресную регистрацию. Пожалуйста, разблокируйте его."
2844d9d9-706d-4ca6-b430-593f05be4981,Mass,Казахстан,Шардара,ENG,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,"Клиент из Украины не может подтвердить регистрацию адресом, так как документы на украинском языке. Он просит помочь с валидацией."
6e686568-52b9-4fdf-9313-f256153f65cb,Mass,Казахстан,Шортанды,RU,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 39,f,"Клиент не может войти в приложение из-за ошибки с номером телефона. Он хочет изменить старый номер на новый, но система его не принимает."
8b056880-e4a8-4413-a614-1a8281ee1bf2,Mass,Казахстан,Павлодар,RU,Смена данных,Нейтральный,3,Павлодар,Менеджер 47,f,"Клиент хочет уточнить права Money Advisor и наличие официального офиса в Казахстане. Возможно, это жалоба на мошенничество."
